OperatorAbb,OperatorOtherAbb,OperatorName,CountryIso,Tin,Phone
HEX,HEXA,"HEXAGONAL OCEAN, LDA",PT,516205331,210961531
HGP,HIGH,"High Green Power, Unipessoal Lda.",PT,514377119,304503212
HLX,HELX,"Helexia II Energy Services, Lda.",PT,513932704,210181157
HRZ,HORZ,"Powerdot, S.A",PT,514790342,800180292
IBD,IBRD,"Iberdrola Clientes Portugal, Unipessoal, Lda",PT,502124083,213502750
IHM,IHOM,iHome Lda,PT,507890949,914876086
IMG,IMAG,"Image4all - Eficiência Energética, Comunicação e Imagem",PT,506289737,211960354
INT,BINT,"Bluint - Engenharia e Tecnologias Integradas, Unipessoal, Lda",PT,517398168,253305400
IOY,IONY,IONITY GmbH,PT,980620899,980620899
ITV,INTV,Instavolt Portugal Lda.,PT,517045320,932117315
IVP,INVP,Intervilapraia,PT,515307840,258959140
JHO,JHOR,JH Ornelas,PT,512000956,296302900
KLC,KLCO,Atlante Infra Portugal,PT,513989536,935991897
KLS,KLCS,"Kilometer Low Cost II Serviços, SA",PT,517213575,234037102
LCG,LOUL,"Loulé Concelho Global, EM",PT,505493870,289401080
LOG,LOGI,uCharge,PT,514645024,210939606
LUZ,LUSI,"LUSIADAENERGIA, S.A.",PT,513816666,282333010
MAK,MAKS,Maksu,PT,510711464,213847300
MEO,MEOE,"MEO Energia - Comercialização de Energia, SA",PT,506743357,253738288
MLT,MLTR,Mobiletric,PT,999999999,963089240
MOA,MOBA,"MOBI A - Mobilidade e Ambiente, Lda",PT,514591110,210514956
MOB,MOBI,MOBIE,PT,509767606,918888888
MOO,MOON,Siva - Sociedade de Importação de Veículos Automóveis,PT,500301522,263407057
MOT,MOTA,Mota-Engil Renewing,PT,506805123,220914260
NEU,NEUR,"Neureifen - Electric Mobility, Lda",PT,516400991,253727437
NRG,NRGS,"NRG - Sistemas de Energia Renováveis, Lda.",PT,509220401,239700750
PAC,PACO,"PACORP, LDA",PT,513253734,212977640
PFU,PFTW,Plug Four the WorldLda,PT,517574306,800100995
PLG,PLUG,"e-Plug, Lda",PT,515621820,210907524
PRI,PRIO,"Prio.E Mobility Solutions, Lda",PT,509299652,234390010
PRP,PROP,"PROPEL - PRODUTOS DE PETRÓLEO, LDA",PT,500223840,217249360
PTE,PTER,"PETROTERMICA ENERGIA, S.A.",PT,500981680,220917900
REM,REMO,MOTA-ENGIL REMO CHARGING S.A,PT,518623785,225190300
REP,REPS,REPSOL PORTUGUESA LDA,PT,500246963,213119000
SAR,SARE,"Superareosa Supermercados, Lda",PT,509296661,258808090
SCR,SCRZ,Município de Santa Cruz,PT,511244681,291520100
SDB,SDBR,SodiBraga - Supermercados Lda,PT,506155137,232096437
SEG,SEGM,SEGMA - Serviços de Engenharia Gestão e Manutenção Lda,PT,512047707,296202209
SFF,SFAF,"Superfafe- supermercados,lda",PT,503961159,253598000
SGM,SGMR,"Superguimarães - Supermercados,lda",PT,509009620,253598000
SLV,SILV,Silver Ridge - Asset Management,PT,516217674,966331078
SLX,SOLX,SOLX,PT,516155164,218931025
TRK,TRUE,WOWPLUG,PT,516296426,211591324
VEI,VEIM,Veimonte Lda,PT,501462473,266896443
VIS,VISA,VISACASA - SERVIÇOS DE ASSISTÊNCIA E MANUTENÇÃO GLOBAL S.A.,PT,506425800,232483000
WEN,WENE,WENEA SERVICES SPAIN S.L.,PT,B88392279,+34915258800
ZND,ZUND,"Grupo Easycharger, SL",PT,A34277434,+34979300500
